"","HHID","region","yield"
"426",335050401,"Central",290
"427",335060401,"Central",565.939393939394
"428",335070401,"Central",727.272727272727
"429",335100401,"Central",400
"430",336030401,"Central",437.5
"431",336040401,"Central",912
"432",336050401,"Central",909.090909090909
"433",337010401,"Central",500
"434",337040401,"Central",920
"435",337070401,"Central",88.5714259317944
"436",338020401,"Central",500
"437",338050401,"Central",500
"438",338070401,"Central",433.333333333333
"439",338080401,"Central",740
"440",338100401,"Central",698.412693787294
"441",339010401,"Central",60
"442",339030401,"Central",1555.55549374333
"443",339040401,"Central",671.428571428571
"444",339050401,"Central",300
"445",339070401,"Central",574.999991431832
"446",339080401,"Central",999.999985098839
"447",339090401,"Central",725
"448",339100401,"Central",900
"449",340010401,"Central",400
"450",340030401,"Central",83.3333300219643
"451",340040401,"Central",47.9166659526527
"452",340050401,"Central",633.333308166929
"453",340060401,"Central",2249.99996647239
"454",340070401,"Central",162.5
"455",340080401,"Central",249.99999627471
"456",341030401,"Central",380
"457",341060401,"Central",400
"458",341080401,"Central",724.999975692482
"459",341090401,"Central",84
"460",342010401,"Central",119.047620230251
"461",342040401,"Central",186.666666666667
"462",342050401,"Central",1520
"463",342060401,"Central",240
"464",342080401,"Central",160
"465",342090401,"Central",450
"466",342100401,"Central",514.285714285714
"467",343010401,"Central",666.666666666667
"468",343020401,"Central",56
"469",343060401,"Central",1360
"470",343080401,"Central",580
"471",343100401,"Central",160
"472",344010402,"Central",80
"473",344050401,"Central",128
"474",344100401,"Central",355.555555555556
"475",346090401,"Central",449.999993294478
"476",349030401,"Central",300
"477",350010401,"Central",3600
"478",350020401,"Central",544.729344128078
"479",350040401,"Central",2440
"480",350070401,"Central",662.499998354663
"481",350080401,"Central",213.88888835769
"482",350090401,"Central",179.999992847443
"483",351010401,"Central",653.333333333333
"484",351020401,"Central",533.333333333333
"485",351030401,"Central",1111.11106695952
"486",351070401,"Central",399.999994039536
"487",351090401,"Central",1233.33333333333
"488",352030401,"Central",239.999996423721
"489",352070401,"Central",337.499994970858
"490",352080401,"Central",1266.66666666667
"491",352100401,"Central",374.999994412065
"492",353020401,"Central",437.499993480742
"493",353050401,"Central",106.666666666667
"494",354030401,"Central",500
"495",354070401,"Central",1250
"496",354080401,"Central",141.176470588235
"497",354090401,"Central",1000
"498",354100401,"Central",92.3076923076923
"499",355010401,"Central",672
"500",355040401,"Central",1466.66666666667
"501",355060401,"Central",587.666666666667
"502",355070401,"Central",1800
"503",355090402,"Central",2340
"504",356010401,"Central",155.555555555556
"505",356020401,"Central",375
"506",356030401,"Central",280
"507",356040401,"Central",156.249997671694
"508",356050401,"Central",58.441558192745
"509",356060401,"Central",250
"510",356070401,"Central",1666.66660043929
"511",356080401,"Central",50
"512",356100401,"Central",2999.99988079071
"513",357070401,"Central",500
"514",357090401,"Central",169.999997466803
"515",357100401,"Central",400
"516",358010401,"Central",456.666648520364
"517",358020401,"Central",2285.71432463977
"518",358030401,"Central",475
"519",358040401,"Central",448.979575588822
"520",358060401,"Central",157.894736842105
"521",358070401,"Central",2760
"522",358080401,"Central",1124.99998323619
"523",358090401,"Central",266.666666666667
"524",358100401,"Central",132.142857142857
"525",359030401,"Eastern",380.952379330486
"526",359050401,"Eastern",259.259259259259
"527",359060401,"Eastern",666.666666666667
"528",359080401,"Eastern",187.5
"529",359100401,"Eastern",291.666665942305
"530",360020401,"Eastern",300
"531",360070401,"Eastern",120
"532",360080401,"Eastern",500
"533",361010401,"Eastern",111.11111405455
"534",361020401,"Eastern",428.571428571429
"535",361030401,"Eastern",250
"536",361080401,"Eastern",3333.33320087857
"537",361090401,"Eastern",96.1538452721206
"538",362020401,"Eastern",300
"539",362050401,"Eastern",800
"540",362060401,"Eastern",799.999988079071
"541",362070401,"Eastern",185.714288876981
"542",362080401,"Eastern",506.944449480485
"543",362090401,"Eastern",266.666666666667
"544",367090401,"Eastern",749.999988824129
"545",368030401,"Eastern",500
"546",368040401,"Eastern",166.666666666667
"547",369030401,"Eastern",857.142871739913
"548",369050401,"Eastern",149.999997764826
"549",369070401,"Eastern",214.285711092608
"550",370030401,"Eastern",49.9999980131786
"551",370040401,"Eastern",1333.33333333333
"552",370050401,"Eastern",666.666640175715
